//New HSK (2013)/Level 1
爱[愛]	ài
相反[相反]	xiāngfǎn
相同[相同]	xiāngtóng
香[香]	xiāng
详细[詳細]	xiángxì
响[響]	xiǎng
橡皮[橡皮]	xiàngpí
消息[消息]	xiāoxi
小吃[小吃]	xiǎochī
小伙子[小夥子]	xiǎohuǒzi
小说[小說]	xiǎoshuō
笑话[笑話]	xiàohua
效果[效果]	xiàoguǒ
心情[心情]	xīnqíng
辛苦[辛苦]	xīnkǔ
信封[信封]	xìnfēng
信息[信息]	xìnxī
信心[信心]	xìnxīn
兴奋[興奮]	xīngfèn
行[行]	xíng
醒[醒]	xǐng
幸福[幸福]	xìngfú
性别[性別]	xìngbié
性格[性格]	xìnggé
修理[修理]	xiūlǐ
许多[許多]	xǔduō
学期[學期]	xuéqī
压力[壓力]	yālì
呀[呀]	ya
牙膏[牙膏]	yágāo
亚洲[亞洲]	Yàzhōu
严格[嚴格]	yángé
严重[嚴重]	yánzhòng
研究[研究]	yánjiū
盐[鹽]	yán
眼镜[眼鏡]	yǎnjìng
演出[演出]	yǎnchū
演员[演員]	yǎnyuán
阳光[陽光]	yángguāng
养成[養成]	yǎngchéng
样子[樣子]	yàngzi
邀请[邀請]	yāoqǐng
要是[要是]	yàoshi
钥匙[鑰匙]	yàoshi
也许[也許]	yěxǔ
叶子[葉子]	yèzi
页[頁]	yè
一切[一切]	yíqiè
以[以]	yǐ
以为[以爲]	yǐwéi
艺术[藝術]	yìshù
意见[意見]	yìjiàn
因此[因此]	yīncǐ
引起[引起]	yǐnqǐ
印象[印象]	yìnxiàng
赢[贏]	yíng
应聘[應聘]	yìngpìn
永远[永遠]	yǒngyuǎn
勇敢[勇敢]	yǒnggǎn
优点[優點]	yōudiǎn
优秀[優秀]	yōuxiù
幽默[幽默]	yōumò
尤其[尤其]	yóuqí
由[由]	yóu
由于[由于]	yóuyú
邮局[郵局]	yóujú
友好[友好]	yǒuhǎo
友谊[友誼]	yǒuyì
有趣[有趣]	yǒuqù
于是[于是]	yúshì
愉快[愉快]	yúkuài
与[與]	yǔ
羽毛球[羽毛球]	yǔmáoqiú
语法[語法]	yǔfǎ
语言[語言]	yǔyán
预习[預習]	yùxí
原来[原來]	yuánlái
原谅[原諒]	yuánliàng
原因[原因]	yuányīn
约会[約會]	yuēhuì
阅读[閱讀]	yuèdú
云[雲]	yún
允许[允許]	yǔnxǔ
杂志[雜志]	zázhì
咱们[咱們]	zánmen
暂时[暫時]	zànshí
脏[髒]	zāng
责任[責任]	zérèn
增加[增加]	zēngjiā
占线[占線]	zhànxiàn
招聘[招聘]	zhāopìn
照[照]	zhào
真正[真正]	zhēnzhèng
整理[整理]	zhěnglǐ
正常[正常]	zhèngcháng
正好[正好]	zhènghǎo
正确[正確]	zhèngquè
正式[正式]	zhèngshì
证明[證明]	zhèngmíng
之[之]	zhī
支持[支持]	zhīchí
知识[知識]	zhīshi
直接[直接]	zhíjiē
值得[值得]	zhíde
职业[職業]	zhíyè
植物[植物]	zhíwù
只好[只好]	zhǐhǎo
只要[只要]	zhǐyào
指[指]	zhǐ
至少[至少]	zhìshǎo
质量[質量]	zhìliàng
重[重]	zhòng
重点[重點]	zhòngdiǎn
重视[重視]	zhòngshì
周围[周圍]	zhōuwéi
主意[主意]	zhǔyi
祝贺[祝賀]	zhùhè
著名[著名]	zhùmíng
专门[專門]	zhuānmén
专业[專業]	zhuānyè
转[轉]	zhuǎn, zhuàn
赚[賺]	zhuàn
准确[准確]	zhǔnquè
准时[准時]	zhǔnshí
仔细[仔細]	zǐxì
自然[自然]	zìrán
自信[自信]	zìxìn
总结[總結]	zǒngjié
租[租]	zū
最好[最好]	zuìhǎo
尊重[尊重]	zūnzhòng
左右[左右]	zuǒyòu
作家[作家]	zuòjiā
作用[作用]	zuòyòng
作者[作者]	zuòzhě
座[座]	zuò
座位[座位]	zuòwèi

//New HSK (2013)/Level 5
哎[哎]	āi
唉[唉]	ài
爱护[愛護]	àihù
爱惜[愛惜]	àixī
爱心[愛心]	àixīn
安慰[安慰]	ānwèi
安装[安裝]	ānzhuāng
岸[岸]	àn
暗[暗]	àn
熬夜[熬夜]	áoyè
把握[把握]	bǎwò
摆[擺]	bǎi
办理[辦理]	bànlǐ
傍晚[傍晚]	bàngwǎn
包裹[包裹]	bāoguǒ
包含[包含]	bāohán
包括[包括]	bāokuò
薄[薄]	báo
宝贝[寶貝]	bǎobèi
宝贵[寶貴]	bǎoguì
保持[保持]	bǎochí
保存[保存]	bǎocún
保留[保留]	bǎoliú
保险[保險]	bǎoxiǎn
报到[報到]	bàodào
报道[報道]	bàodào
报告[報告]	bàogào
报社[報社]	bàoshè
抱怨[抱怨]	bàoyuàn
背[背]	bēi
悲观[悲觀]	bēiguān
背景[背景]	bèijǐng
被子[被子]	bèizi
本科[本科]	běnkē
本领[本領]	běnlǐng
本质[本質]	běnzhì
比例[比例]	bǐlì
彼此[彼此]	bǐcǐ
必然[必然]	bìrán
必要[必要]	bìyào
毕竟[畢竟]	bìjìng
避免[避免]	bìmiǎn
编辑[編輯]	biānjí
鞭炮[鞭炮]	biānpào
便[便]	biàn, pián
辩论[辯論]	biànlùn
标点[標點]	biāodiǎn
标志[標志]	biāozhì
表达[表達]	biǎodá
表面[表面]	biǎomiàn
表明[表明]	biǎomíng
表情[表情]	biǎoqíng
表现[表現]	biǎoxiàn
冰激凌[冰激淩]	bīngjīlíng
病毒[病毒]	bìngdú
玻璃[玻璃]	bōli
播放[播放]	bōfàng
脖子[脖子]	bózi
博物馆[博物館]	bówùguǎn
补充[補充]	bǔchōng
不安[不安]	bù'ān
不得了[不得了]	bùdéliǎo
不断[不斷]	búduàn
不见得[不見得]	bújiàndé
不耐烦[不耐煩]	búnàifán
不然[不然]	bùrán
不如[不如]	bùrú
不要紧[不要緊]	bú yàojǐn
不足[不足]	bùzú
布[布]	bù
步骤[步驟]	bùzhòu
部门[部門]	bùmén
财产[財産]	cáichǎn
采访[采訪]	cǎifǎng
采取[采取]	cǎiqǔ
彩虹[彩虹]	cǎihóng
踩[踩]	cǎi
参考[參考]	cānkǎo
参与[參與]	cānyù
惭愧[慚愧]	cánkuì
操场[操場]	cāochǎng
操心[操心]	cāo xīn
册[冊]	cè
测验[測驗]	cèyàn
曾经[曾經]	céngjīng
叉子[叉子]	chāzi
差距[差距]	chājù
插[插]	chā
拆[拆]	chāi
产品[産品]	chǎnpǐn
产生[産生]	chǎnshēng
长途[長途]	chángtú
常识[常識]	chángshí
抄[抄]	chāo
超级[超級]	chāojí
朝[朝]	cháo
潮湿[潮濕]	cháoshī
吵[吵]	chǎo
吵架[吵架]	chǎo jià
炒[炒]	chǎo
车库[車庫]	chēkù
车厢[車廂]	chēxiāng
彻底[徹底]	chèdǐ
沉默[沈默]	chénmò
趁[趁]	chèn
称[稱]	chēng
称呼[稱呼]	chēnghu
称赞[稱贊]	chēngzàn
成分[成分]	chéngfèn
成果[成果]	chéngguǒ
成就[成就]	chéngjiù
成立[成立]	chénglì
成人[成人]	chéngrén
成熟[成熟]	chéngshú
成语[成語]	chéngyǔ
成长[成長]	chéngzhǎng
诚恳[誠懇]	chéngkěn
承担[承擔]	chéngdān
承认[承認]	chéngrèn
承受[承受]	chéngshòu
程度[程度]	chéngdù
程序[程序]	chéngxù
吃亏[吃虧]	chīkuī
池塘[池塘]	chítáng
迟早[遲早]	chízǎo
持续[持續]	chíxù
尺子[尺子]	chǐzi
翅膀[翅膀]	chìbǎng
冲[沖]	chōng
充电器[充電器]	chōngdiànqì
充分[充分]	chōngfèn
充满[充滿]	chōngmǎn
重复[重複]	chóngfù
宠物[寵物]	chǒngwù
抽屉[抽屜]	chōuti
抽象[抽象]	chōuxiàng
丑[醜]	chǒu
臭[臭]	chòu
出版[出版]	chūbǎn
出口[出口]	chūkǒu
出色[出色]	chūsè
出示[出示]	chūshì
出席[出席]	chūxí
初级[初級]	chūjí
除非[除非]	chúfēi
除夕[除夕]	chúxī
处理[處理]	chǔlǐ
传播[傳播]	chuánbō
传染[傳染]	chuánrǎn
传说[傳說]	chuánshuō
传统[傳統]	chuántǒng
窗帘[窗簾]	chuānglián
闯[闖]	chuǎng
创造[創造]	chuàngzào
吹[吹]	chuī
词汇[詞彙]	cíhuì
辞职[辭職]	cízhí
此外[此外]	cǐwài
次要[次要]	cìyào
刺激[刺激]	cìjī
匆忙[匆忙]	cōngmáng
从此[從此]	cóngcǐ
从而[從而]	cóng'ér
从前[從前]	cóngqián
从事[從事]	cóngshì
粗糙[粗糙]	cūcāo
促进[促進]	cùjìn
促使[促使]	cùshǐ
醋[醋]	cù
催[催]	cuī
存在[存在]	cúnzài
措施[措施]	cuòshī
答应[答應]	dāying
达到[達到]	dá dào
打工[打工]	dǎgōng
打交道[打交道]	dǎ jiāodao
打喷嚏[打噴嚏]	dǎpēntì
打听[打聽]	dǎting
大方[大方]	dàfang
大厦[大廈]	dàshà
大象[大象]	dàxiàng
大型[大型]	dàxíng
呆[呆]	dāi
代表[代表]	dàibiǎo
代替[代替]	dàitì
贷款[貸款]	dài kuǎn
待遇[待遇]	dàiyù
担任[擔任]	dānrèn
单纯[單純]	dānchún
单调[單調]	dāndiào
单独[單獨]	dāndú
单位[單位]	dānwèi
单元[單元]	dānyuán
耽误[耽誤]	dānwu
胆小鬼[膽小鬼]	dǎnxiǎoguǐ
淡[淡]	dàn
当地[當地]	dāngdì
当心[當心]	dāngxīn
挡[擋]	dǎng
导演[導演]	dǎoyǎn
导致[導致]	dǎozhì
岛屿[島嶼]	dǎoyǔ
倒霉[倒黴]	dǎoméi
到达[到達]	dàodá
道德[道德]	dàodé
道理[道理]	dàolǐ
登记[登記]	dēngjì
等待[等待]	děngdài
等于[等于]	děngyú
滴[滴]	dī
的确[的確]	díquè
敌人[敵人]	dírén
地道[地道]	dìdao
地理[地理]	dìlǐ
地区[地區]	dìqū
地毯[地毯]	dìtǎn
地位[地位]	dìwèi
地震[地震]	dìzhèn
递[遞]	dì
点心[點心]	diǎnxin
电池[電池]	diànchí
电台[電台]	diàntái
钓[釣]	diào
顶[頂]	dǐng
动画片[動畫片]	dònghuàpiàn
冻[凍]	dòng
洞[洞]	dòng
豆腐[豆腐]	dòufu
逗[逗]	dòu
独立[獨立]	dúlì
独特[獨特]	dútè
度过[度過]	dùguò
断[斷]	duàn
堆[堆]	duī
对比[對比]	duìbǐ
对待[對待]	duìdài
对方[對方]	duìfāng
对手[對手]	duìshǒu
对象[對象]	duìxiàng
兑换[兌換]	duìhuàn
吨[噸]	dūn
蹲[蹲]	dūn
顿[頓]	dùn
多亏[多虧]	duōkuī
多余[多余]	duōyú
朵[朵]	duǒ
躲藏[躲藏]	duǒcáng
恶劣[惡劣]	èliè
耳环[耳環]	ěrhuán
发表[發表]	fābiǎo
发愁[發愁]	fā chóu
发达[發達]	fādá
发抖[發抖]	fādǒu
发挥[發揮]	fāhuī
发明[發明]	fāmíng
发票[發票]	fāpiào
发言[發言]	fāyán
罚款[罰款]	fákuǎn
法院[法院]	fǎyuàn
翻[翻]	fān
繁荣[繁榮]	fánróng
反而[反而]	fǎn'ér
反复[反複]	fǎnfù
反应[反應]	fǎnyìng
反映[反映]	fǎnyìng
反正[反正]	fǎnzhèng
范围[範圍]	fànwéi
方[方]	fāng
方案[方案]	fāng'àn
方式[方式]	fāngshì
妨碍[妨礙]	fáng'ài
仿佛[仿佛]	fǎngfú
非[非]	fēi
肥皂[肥皂]	féizào
废话[廢話]	fèihuà
分别[分別]	fēnbié
分布[分布]	fēnbù
分配[分配]	fēnpèi
分手[分手]	fēnshǒu
分析[分析]	fēnxī
纷纷[紛紛]	fēnfēn
奋斗[奮鬥]	fèndòu
风格[風格]	fēnggé
风景[風景]	fēngjǐng
风俗[風俗]	fēngsú
风险[風險]	fēngxiǎn
疯狂[瘋狂]	fēngkuáng
讽刺[諷刺]	fěngcì
否定[否定]	fǒudìng
否认[否認]	fǒurèn
扶[扶]	fú
服装[服裝]	fúzhuāng
幅[幅]	fú
辅导[輔導]	fǔdǎo
妇女[婦女]	fùnǚ
复制[複制]	fùzhì
改革[改革]	gǎigé
改进[改進]	gǎijìn
改善[改善]	gǎishàn
改正[改正]	gǎizhèng
盖[蓋]	gài
概括[概括]	gàikuò
概念[概念]	gàiniàn
干脆[幹脆]	gāncuì
干燥[幹燥]	gānzào
赶紧[趕緊]	gǎnjǐn
赶快[趕快]	gǎnkuài
感激[感激]	gǎnjī
感受[感受]	gǎnshòu
感想[感想]	gǎnxiǎng
干活儿[幹活兒]	gàn huór
钢铁[鋼鐵]	gāngtiě
高档[高檔]	gāodàng
高级[高級]	gāojí
搞[搞]	gǎo
告别[告別]	gàobié
格外[格外]	géwài
隔壁[隔壁]	gébì
个别[個別]	gèbié
个人[個人]	gèrén
个性[個性]	gèxìng
各自[各自]	gèzì
根[根]	gēn
根本[根本]	gēnběn
工厂[工廠]	gōngchǎng
工程师[工程師]	gōngchéngshī
工具[工具]	gōngjù
工人[工人]	gōngrén
工业[工業]	gōngyè
公布[公布]	gōngbù
公开[公開]	gōngkāi
公平[公平]	gōngpíng
公寓[公寓]	gōngyù
公元[公元]	gōngyuán
公主[公主]	gōngzhǔ
功能[功能]	gōngnéng
恭喜[恭喜]	gōngxǐ
贡献[貢獻]	gòngxiàn
沟通[溝通]	gōutōng
构成[構成]	gòuchéng
姑姑[姑姑]	gūgu
姑娘[姑娘]	gūniang
古代[古代]	gǔdài
古典[古典]	gǔdiǎn
股票[股票]	gǔpiào
骨头[骨頭]	gǔtou
鼓舞[鼓舞]	gǔwǔ
鼓掌[鼓掌]	gǔ zhǎng
固定[固定]	gùdìng
挂号[挂號]	guà hào
乖[乖]	guāi
拐弯[拐彎]	guǎi wān
怪不得[怪不得]	guài bu de
关闭[關閉]	guānbì
观察[觀察]	guānchá
观点[觀點]	guāndiǎn
观念[觀念]	guānniàn
官[官]	guān
管子[管子]	guǎnzi
冠军[冠軍]	guànjūn
光滑[光滑]	guānghuá
光临[光臨]	guānglín
光明[光明]	guāngmíng
光盘[光盤]	guāngpán
广场[廣場]	guǎngchǎng
广大[廣大]	guǎngdà
广泛[廣泛]	guǎngfàn
归纳[歸納]	guīnà
规矩[規矩]	guīju
规律[規律]	guīlǜ
规模[規模]	guīmó
规则[規則]	guīzé
柜台[櫃台]	guìtái
滚[滾]	gǔn
锅[鍋]	guō
国庆节[國慶節]	Guóqìng Jié
国王[國王]	guówáng
果然[果然]	guǒrán
果实[果實]	guǒshí
过分[過分]	guòfèn
过敏[過敏]	guòmǐn
过期[過期]	guòqī
哈[哈]	hā
海关[海關]	hǎiguān
海鲜[海鮮]	hǎixiān
喊[喊]	hǎn
行业[行業]	hángyè
豪华[豪華]	háohuá
好客[好客]	hàokè
好奇[好奇]	hàoqí
合法[合法]	héfǎ
合理[合理]	hélǐ
合同[合同]	hétong
合影[合影]	héyǐng
合作[合作]	hézuò
何必[何必]	hébì
何况[何況]	hékuàng
和平[和平]	hépíng
核心[核心]	héxīn
恨[恨]	hèn
猴子[猴子]	hóuzi
后背[後背]	hòubèi
后果[後果]	hòuguǒ
呼吸[呼吸]	hūxī
忽然[忽然]	hūrán
忽视[忽視]	hūshì
胡说[胡說]	húshuō
胡同[胡同]	hútòng
壶[壺]	hú
蝴蝶[蝴蝶]	húdié
糊涂[糊塗]	hútu
花生[花生]	huāshēng
划[劃]	huà, huá
华裔[華裔]	Huáyì
滑[滑]	huá
化学[化學]	huàxué
话题[話題]	huàtí
怀念[懷念]	huáiniàn
怀孕[懷孕]	huáiyùn
缓解[緩解]	huǎnjiě
幻想[幻想]	huànxiǎng
慌张[慌張]	huāngzhāng
黄金[黃金]	huángjīn
灰[灰]	huī
灰尘[灰塵]	huīchén
灰心[灰心]	huī xīn
挥[揮]	huī
恢复[恢複]	huīfù
汇率[彙率]	huìlǜ
婚礼[婚禮]	hūnlǐ
婚姻[婚姻]	hūnyīn
活跃[活躍]	huóyuè
火柴[火柴]	huǒchái
伙伴[夥伴]	huǒbàn
或许[或許]	huòxǔ
机器[機器]	jīqì
肌肉[肌肉]	jīròu
基本[基本]	jīběn
激烈[激烈]	jīliè
及格[及格]	jí gé
极其[極其]	jíqí
急忙[急忙]	jímáng
急诊[急診]	jízhěn
集合[集合]	jíhé
集体[集體]	jítǐ
集中[集中]	jízhōng
计算[計算]	jìsuàn
记录[記錄]	jìlù
记忆[記憶]	jìyì
纪录[紀錄]	jìlù
纪律[紀律]	jìlǜ
纪念[紀念]	jìniàn
系领带[系領帶]	jìlǐngdài
寂寞[寂寞]	jìmò
夹子[夾子]	jiāzi
家庭[家庭]	jiātíng
家务[家務]	jiāwù
家乡[家鄉]	jiāxiāng
嘉宾[嘉賓]	jiābīn
甲[甲]	jiǎ
假如[假如]	jiǎrú
假设[假設]	jiǎshè
假装[假裝]	jiǎzhuāng
价值[價值]	jiàzhí
驾驶[駕駛]	jiàshǐ
嫁[嫁]	jià
坚决[堅決]	jiānjué
坚强[堅強]	jiānqiáng
肩膀[肩膀]	jiānbǎng
艰巨[艱巨]	jiānjù
艰苦[艱苦]	jiānkǔ
兼职[兼職]	jiānzhí
捡[撿]	jiǎn
剪刀[剪刀]	jiǎndāo
简历[簡曆]	jiǎnlì
简直[簡直]	jiǎnzhí
建立[建立]	jiànlì
建设[建設]	jiànshè
建筑[建築]	jiànzhù
健身[健身]	jiànshēn
键盘[鍵盤]	jiànpán
讲究[講究]	jiǎngjiu
讲座[講座]	jiǎngzuò
酱油[醬油]	jiàngyóu
交换[交換]	jiāohuàn
交际[交際]	jiāojì
交往[交往]	jiāowǎng
浇[澆]	jiāo
胶水[膠水]	jiāoshuǐ
角度[角度]	jiǎodù
狡猾[狡猾]	jiǎohuá
教材[教材]	jiàocái
教练[教練]	jiàoliàn
教训[教訓]	jiàoxun
阶段[階段]	jiēduàn
结实[結實]	jiēshi
接触[接觸]	jiēchù
接待[接待]	jiēdài
接近[接近]	jiējìn
节省[節省]	jiéshěng
结构[結構]	jiégòu
结合[結合]	jiéhé
结论[結論]	jiélùn
结账[結賬]	jiézhàng
戒[戒]	jiè
戒指[戒指]	jièzhi
届[屆]	jiè
借口[借口]	jièkǒu
金属[金屬]	jīnshǔ
尽快[盡快]	jǐnkuài
尽量[盡量]	jǐnliàng
紧急[緊急]	jǐnjí
谨慎[謹慎]	jǐnshèn
尽力[盡力]	jìn lì
进步[進步]	jìnbù
进口[進口]	jìn kǒu
近代[近代]	jìndài
经典[經典]	jīngdiǎn
经商[經商]	jīng shāng
经营[經營]	jīngyíng
精力[精力]	jīnglì
精神[精神]	jīngshen
酒吧[酒吧]	jiǔbā
救[救]	jiù
救护车[救護車]	jiùhùchē
舅舅[舅舅]	jiùjiu
居然[居然]	jūrán
桔子[桔子]	júzi
巨大[巨大]	jùdà
具备[具備]	jùbèi
具体[具體]	jùtǐ
俱乐部[俱樂部]	jùlèbù
据说[據說]	jùshuō
捐[捐]	juān
决赛[決賽]	juésài
决心[決心]	juéxīn
角色[角色]	juésè
绝对[絕對]	juéduì
军事[軍事]	jūnshì
均匀[均勻]	jūnyún
卡车[卡車]	kǎchē
开发[開發]	kāifā
开放[開放]	kāifàng
开幕式[開幕式]	kāimùshì
开水[開水]	kāishuǐ
砍[砍]	kǎn
看不起[看不起]	kàn bu qǐ
看望[看望]	kànwàng
靠[靠]	kào
颗[顆]	kē
可见[可見]	kějiàn
可靠[可靠]	kěkào
可怕[可怕]	kěpà
克[克]	kè
克服[克服]	kèfú
刻苦[刻苦]	kèkǔ
客观[客觀]	kèguān
课程[課程]	kèchéng
空间[空間]	kōngjiān
空闲[空閑]	kòngxián
控制[控制]	kòngzhì
口味[口味]	kǒuwèi
夸[誇]	kuā
夸张[誇張]	kuāzhāng
会计[會計]	kuàijì
宽[寬]	kuān
昆虫[昆蟲]	kūnchóng
扩大[擴大]	kuòdà
辣椒[辣椒]	làjiāo
拦[攔]	lán
烂[爛]	làn
朗读[朗讀]	lǎngdú
劳动[勞動]	láodòng
劳驾[勞駕]	láo jià
老百姓[老百姓]	lǎobǎixìng
老板[老板]	lǎobǎn
老婆[老婆]	lǎopó
老实[老實]	lǎoshi
老鼠[老鼠]	lǎoshǔ
姥姥[姥姥]	lǎolao
乐观[樂觀]	lèguān
雷[雷]	léi
类型[類型]	lèixíng
冷淡[冷淡]	lěngdàn
厘米[厘米]	límǐ
离婚[離婚]	lí hūn
梨[梨]	lí
理论[理論]	lǐlùn
理由[理由]	lǐyóu
力量[力量]	lìliang
立即[立即]	lìjí
立刻[立刻]	lìkè
利润[利潤]	lìrùn
利息[利息]	lìxī
利益[利益]	lìyì
利用[利用]	lìyòng
连忙[連忙]	liánmáng
连续[連續]	liánxù
联合[聯合]	liánhé
恋爱[戀愛]	liàn'ài
良好[良好]	liánghǎo
粮食[糧食]	liángshi
亮[亮]	liàng
了不起[了不起]	liǎobuqǐ
列车[列車]	lièchē
临时[臨時]	línshí
灵活[靈活]	línghuó
铃[鈴]	líng
零件[零件]	língjiàn
零食[零食]	língshí
领导[領導]	lǐngdǎo
领域[領域]	lǐngyù
浏览[浏覽]	liúlǎn
流传[流傳]	liúchuán
流泪[流淚]	liúlèi
龙[龍]	lóng
漏[漏]	lòu
陆地[陸地]	lùdì
陆续[陸續]	lùxù
录取[錄取]	lùqǔ
录音[錄音]	lùyīn
轮流[輪流]	lúnliú
论文[論文]	lùnwén
逻辑[邏輯]	luóji
落后[落後]	luòhòu
骂[罵]	mà
麦克风[麥克風]	màikèfēng
馒头[饅頭]	mántou
满足[滿足]	mǎnzú
毛病[毛病]	máobìng
矛盾[矛盾]	máodùn
冒险[冒險]	màoxiǎn
贸易[貿易]	màoyì
眉毛[眉毛]	méimao
媒体[媒體]	méitǐ
煤炭[煤炭]	méitàn
美术[美術]	měishù
魅力[魅力]	mèilì
梦想[夢想]	mèngxiǎng
秘密[秘密]	mìmì
秘书[秘書]	mìshu
密切[密切]	mìqiè
蜜蜂[蜜蜂]	mìfēng
面对[面對]	miànduì
面积[面積]	miànjī
面临[面臨]	miànlín
苗条[苗條]	miáotiao
描写[描寫]	miáoxiě
敏感[敏感]	mǐngǎn
名牌[名牌]	míngpái
名片[名片]	míngpiàn
名胜古迹[名勝古迹]	míngshènggǔjì
明确[明確]	míngquè
明显[明顯]	míngxiǎn
明星[明星]	míngxīng
命令[命令]	mìnglìng
命运[命運]	mìngyùn
摸[摸]	mō
模仿[模仿]	mófǎng
模糊[模糊]	móhu
模特[模特]	mótè
摩托车[摩托車]	mótuōchē
陌生[陌生]	mòshēng
某[某]	mǒu
木头[木頭]	mùtou
目标[目標]	mùbiāo
目录[目錄]	mùlù
目前[目前]	mùqián
哪怕[哪怕]	nǎpà
难怪[難怪]	nánguài
难免[難免]	nánmiǎn
脑袋[腦袋]	nǎodai
内部[內部]	nèibù
内科[內科]	nèikē
嫩[嫩]	nèn
能干[能幹]	nénggàn
能源[能源]	néngyuán
嗯[嗯]	ēn
年代[年代]	niándài
年纪[年紀]	niánjì
念[念]	niàn
宁可[甯可]	nìngkě
牛仔裤[牛仔褲]	niúzǎikù
农村[農村]	nóngcūn
农民[農民]	nóngmín
农业[農業]	nóngyè
浓[濃]	nóng
女士[女士]	nǚshì
欧洲[歐洲]	Ōuzhōu
偶然[偶然]	ǒurán
拍[拍]	pāi
派[派]	pài
盼望[盼望]	pànwàng
培训[培訓]	péixùn
培养[培養]	péiyǎng
赔偿[賠償]	péicháng
佩服[佩服]	pèifu
配合[配合]	pèihé
盆[盆]	pén
碰[碰]	pèng
批[批]	pī
批准[批准]	pīzhǔn
披[披]	pī
疲劳[疲勞]	píláo
匹[匹]	pǐ
片[片]	piàn, piān
片面[片面]	piànmiàn
飘[飄]	piāo
拼音[拼音]	pīnyīn
频道[頻道]	píndào
平[平]	píng
平安[平安]	píng'ān
平常[平常]	píngcháng
平等[平等]	píngděng
平方[平方]	píngfāng
平衡[平衡]	pínghéng
平静[平靜]	píngjìng
平均[平均]	píngjūn
评价[評價]	píngjià
凭[憑]	píng
迫切[迫切]	pòqiè
破产[破産]	pò chǎn
破坏[破壞]	pòhuài
期待[期待]	qīdài
期间[期間]	qījiān
其余[其余]	qíyú
奇迹[奇迹]	qíjì
企业[企業]	qǐyè
启发[啓發]	qǐfā
气氛[氣氛]	qìfēn
汽油[汽油]	qìyóu
谦虚[謙虛]	qiānxū
签[簽]	qiān
前途[前途]	qiántú
浅[淺]	qiǎn
欠[欠]	qiàn
枪[槍]	qiāng
强调[強調]	qiángdiào
强烈[強烈]	qiángliè
墙[牆]	qiáng
抢[搶]	qiǎng, qiāng
悄悄[悄悄]	qiāoqiāo
瞧[瞧]	qiáo
巧妙[巧妙]	qiǎomiào
切[切]	qiē, qiè
亲爱[親愛]	qīn'ài
亲切[親切]	qīnqiè
亲自[親自]	qīnzì
勤奋[勤奮]	qínfèn
青[青]	qīng
青春[青春]	qīngchūn
青少年[青少年]	qīngshàonián
轻视[輕視]	qīngshì
轻易[輕易]	qīngyì
清淡[清淡]	qīngdàn
情景[情景]	qíngjǐng
情绪[情緒]	qíngxù
请求[請求]	qǐngqiú
庆祝[慶祝]	qìngzhù
球迷[球迷]	qiúmí
趋势[趨勢]	qūshì
取消[取消]	qǔxiāo
娶[娶]	qǔ
去世[去世]	qùshì
圈[圈]	quān
权力[權力]	quánlì
权利[權利]	quánlì
全面[全面]	quánmiàn
劝[勸]	quàn
缺乏[缺乏]	quēfá
确定[確定]	quèdìng
确认[確認]	quèrèn
群[群]	qún
燃烧[燃燒]	ránshāo
绕[繞]	rào
热爱[熱愛]	rè'ài
热烈[熱烈]	rèliè
热心[熱心]	rèxīn
人才[人才]	réncái
人口[人口]	rénkǒu
人类[人類]	rénlèi
人民币[人民幣]	rénmínbì
人生[人生]	rénshēng
人事[人事]	rénshì
人物[人物]	rénwù
人员[人員]	rényuán
忍不住[忍不住]	rěn bu zhù
日常[日常]	rìcháng
日程[日程]	rìchéng
日历[日曆]	rìlì
日期[日期]	rìqī
日用品[日用品]	rìyòngpǐn
日子[日子]	rìzi
如何[如何]	rúhé
如今[如今]	rújīn
软[軟]	ruǎn
软件[軟件]	ruǎnjiàn
弱[弱]	ruò
洒[灑]	sǎ
嗓子[嗓子]	sǎngzi
色彩[色彩]	sècǎi
杀[殺]	shā
沙漠[沙漠]	shāmò
沙滩[沙灘]	shātān
傻[傻]	shǎ
晒[曬]	shài
删除[刪除]	shānchú
闪电[閃電]	shǎndiàn
扇子[扇子]	shànzi
善良[善良]	shànliáng
善于[善于]	shànyú
伤害[傷害]	shānghài
商品[商品]	shāngpǐn
商务[商務]	shāngwù
商业[商業]	shāngyè
上当[上當]	shàng dàng
蛇[蛇]	shé
舍不得[舍不得]	shěbude
设备[設備]	shèbèi
设计[設計]	shèjì
设施[設施]	shèshī
射击[射擊]	shèjī
摄影[攝影]	shè yǐng
伸[伸]	shēn
身材[身材]	shēncái
身份[身份]	shēnfèn
深刻[深刻]	shēnkè
神话[神話]	shénhuà
神秘[神秘]	shénmì
升[升]	shēng
生产[生産]	shēngchǎn
生动[生動]	shēngdòng
生长[生長]	shēngzhǎng
声调[聲調]	shēngdiào
绳子[繩子]	shéngzi
省略[省略]	shěnglüè
胜利[勝利]	shènglì
失眠[失眠]	shīmián
失去[失去]	shīqù
失业[失業]	shī yè
诗[詩]	shī
狮子[獅子]	shīzi
湿润[濕潤]	shīrùn
石头[石頭]	shítou
时差[時差]	shíchā
时代[時代]	shídài
时刻[時刻]	shíkè
时髦[時髦]	shímáo
时期[時期]	shíqī
时尚[時尚]	shíshàng
实话[實話]	shíhuà
实践[實踐]	shíjiàn
实习[實習]	shíxí
实现[實現]	shíxiàn
实验[實驗]	shíyàn
实用[實用]	shíyòng
食物[食物]	shíwù
