//Chinese With Mike/Vocabulary/Greetings
你好	nǐ hǎo!	Hello; hi (You good?)
不是,他不是我的爸爸	Bú shì. Tā bú shì wǒde bàba.	No, he is not. He is not my dad.
你的狗是你的朋友吗?	Nǐde gǒu shì nǐde péngyǒu ma?	Is your dog your friend?
是,他是我的朋友	Shì. Tā shì wǒde péngyǒu.	Yes, it is. It is my friend.
不是,他不是我的朋友	Bú shì. Tā bú shì wǒde péngyǒu.	No, it is not. It is not my friend.

//Chinese With Mike/Season 1/Ch 18: Yes or No Questions with Hěn
Maria的男朋友很帅吗？	Mariade nánpéngyǒu hěn shuài ma? 	Is Maria’s boyfriend handsome?
是，他很帅。	shì. tā hěn shuài.	Yes, he is. He is handsome.
不是，他不帅。	bú shì. tā bú shuài.	No, he is not. He is not handsome.
不是，他很丑。	bú shì. tā hěn chǒu.	No, he is not. He is ugly.
加拿大很大吗？	Jiānádà hěn dà ma?	Is Canada big?
是，加拿大很大。	shì. Jiānádà hěn dà.	Yes, it is. Canada is big.
不是，加拿大不大。	bú shì. Jiānádà bú dà.	No, it is not. Canada is not big.
不是，加拿大很小。	bú shì. Jiānádà hěn xiǎo.	No, it is not. Canada is small.

//Chinese With Mike/Season 1/Ch 19: This and That
这是书	zhè shì shū.	This is a book.
这是苹果	zhè shì píngguǒ.	This is an apple.
这是洋娃娃	zhè shì yángwáwa.	This is a doll.
那是诸	nà shì zhū.	That is a pig.
那是水	nà shì shuǐ.	That is water.
那是狗	nà shì gǒu.	That is a dog.
这是椅子吗?	zhè shì yǐzi ma?	Is this a chair?
这是桌子吗?	zhè shì zhuōzi ma?	Is this a table?
这是猫吗?	zhè shì māo ma?	Is this a cat?
那是你的朋友吗?	nà shì nǐde péngyǒu ma?	Is that your friend?
那是他们的老师吗?	nà shì tāmende lǎoshī ma?	Is that their teacher?
那是你的车子吗?	nà shì nǐde chēzi ma?	Is that your car?

//Chinese With Mike/Season 1/Ch 20: WHAT? and Review of This and That
这是球吗?	zhè shì qiú ma?	Is this a ball?
是,这是球	shì. Zhè shì qiú.	Yes. This is a ball.
那是你的房子吗?	nà shì nǐde fángzi ma?	Is that your house?
是,那是我的房子	shì. Nà shì wǒde fángzi.	Yes, that is my house.
那是你的男朋友的狗吗?	nà shì nǐde nánpéngyǒude gǒu ma?	Is that your boyfriend’s dog?
不是,那不是我的男朋友的狗	bú shì. Nà bú shì wǒde nánpéngyǒude gǒu.	No. That is not my boyfriend’s dog.
那是狗吗?	nà shì gǒu ma?	Is that a dog?
不是,那不是狗.那是猫。	bú shì. Nà bú shì gǒu. Nà shì māo.	No, it is not. That is not a dog. That is a cat.
这是你的玩具吗?	zhè shì nǐde wánjù ma?	Is this your toy?
是,这是我的玩具。	shì. Zhè shì wǒde wánjù.	Yes, it is. This is my toy.
那是他们的房子吗?	nà shì tāmende fángzi ma?	Is that their house?
是,那是他们的房子。	shì. Nà shì tāmende fángzi.	Yes, it is. That is their house.

//Chinese With Mike/Season 1/Ch 21: These and Those
这是什么?	zhè shì shénme?	What is this?
那是什么?	nà shì shénme?	What is that?
这是水吗？	zhè shì shuǐ ma?	Is this water?
是，这是水。	shì. Zhè shì shuǐ.	Yes, it is. This is water.
那是什么？	nà shì shénme?	What is that?
那是苹果吗？	nà shì píngguǒ ma?	Is that an apple?
不是，那不是苹果。	bú shì. Nà bú shì píngguǒ.	No, it is not. That is not an apple.
这些是鞋子。	zhèxiē shì xiézi.	These are shoes.
这些是香蕉。	zhèxiē shì xiāngjiāo.	These are bananas.
这些是苹果吗？	zhèxiē shì píngguǒ ma?	Are these apples?
是，这些是苹果。	shì. Zhèxiē shì píngguǒ.	Yes, they are. These are apples.
这些是你的玩具吗？	zhèxiē shì nǐde wánjù ma?	Are these your toys?
不是，这些不是我的玩具。	bú shì. Zhèxiē bú shì wǒde wánjù.	No, they are not. These are not my toys.
那些是狮子。	nàxiē shì shīzi.	Those are lions.
那些是床。	nàxiē shì chuáng.	Those are beds.
那些是葡萄吗？	nàxiē shì pútáo ma?	Are those grapes?
是，那些是葡萄。	shì. Nàxiē shì pútáo.	Yes, they are. Those are grapes.
那些是老虎吗？	nàxiē shì lǎohú ma?	Are those tigers?
不是，那些不是老虎。	bú shì. Nàxiē bú shì lǎohú.	No, they are not. Those are not tigers.
这些是什么？	zhèxiē shì shénme?	What are these?
这些是狗。	zhèxiē shì gǒu.	These are dogs.
那些是什么？	nàxiē shì shénme?	What are those?
那些是猫。	nàxiē shì māo.	Those are cats.

//Chinese With Mike/Season 1/Ch 22: Who? And Review of These and Those
这是西瓜吗？	zhè shì xīguā ma?	Is this (a) watermelon?
是，这是西瓜。	shì. Zhè shì xīguā.	Yes, it is. This is (a) watermelon.
那是熊吗？	nà shì xióng ma?	Is that a bear?
不是，那是牛。	bú shì. Nà shì niú.	No, it is not. That is a cow.
这些是鸡吗？	zhèxiē shì jī ma?	Are these chickens?
不是，这些不是鸡。	bú shì. Zhèxiē bú shì jī.	No, they are not. These are not chickens.
那些是草莓吗？	nàxiē shì cǎoméi ma?	Are those strawberries?
是，那些是草莓。	shì. Nàxiē shì cǎoméi.	Yes, they are. Those are strawberries.
这是我的爸爸的青蛙。	zhè shì wǒde bàbade qīngwā.	This is my dad’s frog.
那是我的太太的狗。	nà shì wǒde tàitaide gǒu.	That is my wife’s dog.
这些是我的老师的葡萄。	zhèxiē shì wǒde lǎoshīde pútáo.	These are my teacher’s grapes.
那些是我的外婆的蓝莓。	nàxiē shì wǒde wàipóde lánméi.	Those are my grandma’s blueberries.
这是你的妈妈的房子吗？	zhè shì nǐde māmade fángzi ma?	Is this your mom’s house?
是，这是我的妈妈的房子。	shì. Zhè shì wǒde māmade fángzi.	Yes, it is. This is my mom’s house.
那是他们的兔子吗？	nà shì tāmende tùzi ma?	Is that their rabbit?
是，那是他们的兔子。	shì. Nà shì tāmende tùzi.	Yes, it is. That is their rabbit.
那些是我们的猫。	nàxiē shì wǒmende māo.	Those are our cats.
那些不是我们的老鼠。	nàxiē bú shì wǒmende lǎoshǔ.	Those are not our mice.
这是谁？	zhè shì shéi?	Who is this?
这是我的女朋友。	zhè shì wǒde nǚpéngyǒu.	This is my girlfriend.
那是谁？	nà shì shéi?	Who is that?
那是他们的姐姐。	nà shì tāmende jiějie.	That is their older sister.
他是谁？	tā shì shéi?	Who is he?
他是我们的老师。	tā shì wǒmende lǎoshī.	He is our teacher.
他们是谁？	tāmen shì shéi?	Who are they?
他们是我的父母。	tāmen shì wǒde fùmǔ.	They are my parents.
你是谁？	nǐ shì shéi?	Who are you?
我是Joe.你呢？	wǒ shì Joe. Nǐ ne?	I am Joe. And you?
这是谁？	zhè shì shéi?	Who is this?
这是谁的？	zhè shì shéide?	Whose is this?
这些是谁的？	zhèxiē shì shéide?	Whose are these?
那是谁？	nà shì shéi?	Who is that?
那是谁的？	nà shì shéide?	Whose is that?
那些是谁的？	nàxiē shì shéide?	Whose are those?
这些是谁的？	zhèxiē shì shéide zhū?	Whose pigs are these?
这些是我的哥哥的猪。	zhèxiē shì wǒde gēgede.	These are my older brother’s.
那些是谁的？	nàxiē shì shéide níngméng?	Whose lemons are those?
那些是你的朋友的 柠檬。	nàxiē shì nǐde péngyǒude.	Those are your friend’s.

//Chinese With Mike/Season 1/Ch 23: Numbers and Days of the Week
今天是星期几？	jīntiān shì xīngqíjǐ?	What day is today?
今天是星期三。　	jīntiān shì xīngqísān.	Today is Wednesday.
明天是星期四。	míngtiān shì xīngqìsì.	Tomorrow is Thursday.
明天是星期几？	míngtiān shì xīngqíjǐ?	What day is tomorrow?
明天是星期四。	míngtiān shì xīngqísì.	Tomorrow is Thursday.
后天是星期五。	hòutiàn shì xīngqíwǔ.	The day after tomorrow is Friday.
昨天是星期几？	zuótiān shì xīngqíjǐ?	What day was yesterday?
昨天是星期二。	zuótiān shì xīngqí èr.	Yesterday was Tuesday.
前天是星期一。	qiántiān shì xīngqíyī.	The day before yesterday was Monday.
今天我很难过。	jīntiān wǒ hěn nánguò.	Today I am (very) sad.
昨天我的姐姐很高兴。	zuótiān wǒde jiějie hěn gāoxìng.	Yesterday my older sister was (very) happy.
昨天你很无聊吗？	zuótiān nǐ hěn wúliáo ma?	Were you bored yesterday?
是，昨天我很无聊。	shì. Zuótiān wǒ hěn wúliáo.	Yes, I was. I was bored yesterday.

//Chinese With Mike/Season 1/Ch 24: Months of the Year
现在是几月？	xiànzài shì jǐyuè?	What month is it (now)?
现在是四月。	xiànzài shì sìyuè.	It is April.
我的生日是一月。	wǒde shēngrì shì yīyuè.	My birthday is in January.
你的生日是几月？	nǐde shēngrì shì jǐyuè?	What month is your birthday?
我的生日是七月。	wǒde shēngrì shì qīyuè.	My birthday is in July.
你的哥哥的生日是几月？	nǐde gēgede shēngrì shì jǐyuè?	What month is your older brother’s birthday?
我的哥哥的生日是二月。	wǒde gēgede shēngrì shì èryuè.	My older brother’s birthday is in February.
你的弟弟的生日是五月吗？	nǐde dìdide shēngrì shì wǔyuè ma?	Is your younger brother’s birthday in May?
是，我的弟弟的生日是五月。	shì. Wǒde dìdide shēngrì shì wǔyuè.	Yes, it is. My younger brother’s birthday is in May.
我们的妈妈的生日是九月吗？	wǒmende māmade shēngrì shì jiǔyuè ma?	Is our mom’s birthday in September?
不是，我们的妈妈的生日不是九月。	bú shì. wǒmende māmade shēngrì bú shì jiǔyuè.	No, our mom’s birthday is not in September. 
我们的妈妈的生日是十一月。	wǒmende māmade shēngrì shì shíyīyuè.	Our mom’s birthday is in November.

//Chinese With Mike/Season 1/Ch 25: What Time Is It?
现在（是）几点？	xiànzài (shì) jǐ diǎn?	What time is it?
现在（是）几点钟？	xiànzài (shì) jǐ diǎn zhōng?	What time is it now?
现在（是）七点（钟）。	xiànzài (shì) qī diǎn(zhōng).	It is 7:00.
现在（是）五点（钟）。	xiànzài (shì) wǔ diǎn(zhōng).	It is 5:00.
现在（是）八点半。	xiànzài (shì) bā diǎn bàn.	It is half-past eight; it is 8:30
现在（是）两点吗？	xiànzài shì liǎng diǎn ma?	Is it 2:00?
是，现在 是 两点。	shì. Xiànzài shì liǎng diǎn.	Yes, it is 2:00.
现在 是 十一点吗？	xiànzài shì shíyī diǎn ma?	Is it 11:00?
不是，现在 是 九点。	bú shì. Xiànzài shì jiǔ diǎn.	No, it isn’t. It is 9:00
现在是几月？	xiànzài shì jǐyuè?	What month is it?
现在是一月。	xiànzai shì yīyuè.	It is January.
现在（是）十二点（钟）。	xiànzài (shì) shí èr diǎn(zhōng).	It is 12:00.

//Chinese With Mike/Season 1/Ch 26: More Review of Shi and Hen
我不忙。	wǒ bù máng.	I am not busy.
你不聪明。	nǐ bù cōngmíng.	You are not smart.
他不饿。	tā bú è.	He is not hungry.
他们不累。	tāmen bú lèi.	They are not tired.
Mike老师不臭。	Mike lǎoshī bú chòu.	Teacher Mike is not stinky.
今天Geoff不好。	jīntiān Geoff bù hǎo.	Today Jeff is not well.
昨天Jennifer不高兴。	zuótiān Jennifer bù gāoxìng.	Yesterday Jennifer was not happy.
我的爸爸妈妈不渴。	wǒde bàbamāma bù kě.	My mom and dad are not thirsty.
你很忙吗？	nǐ hěn máng ma?	Are you busy?
是我很忙。	shì. Wǒ hěn máng.	Yes, I am. I am busy.
你很矮吗？	ni hěn ǎi ma?	Are you short?
不是。我不矮。我很高。	bú shì. Wo bù ǎi. Wǒ hěn gāo.	No, I am not. I am not short. I am tall.
你的妹妹很漂亮吗？	nǐde mèimei hěn piàoliàng ma?	Is your sister pretty?
不是。她很丑。	bú shì. Tā hěn chǒu.	No, she is not. She is ugly.
她的姐姐很懒惰吗？	tāde jiějie hěn lǎnduò ma?	Is her older sister lazy?
不是。他是学生。他很忙。	bú shì. Tā shì xuéshēng. Tā hěn máng.	No, she is not. She is a student. She is very busy.
加拿大很小吗？	Jiānádà hěn xiǎo ma?	Is Canada small?
不是。加拿大很大。	bú shì. Jiānádà hěn dà.	No, it is not. Canada is big.
台湾很大吗？	Táiwān hěn dà ma?	Is Taiwan big?
不是。台湾不大。	bú shì. Táiwān bú dà.	No, it is not. Taiwan is not big.
你的狗很可爱吗？	nǐde gǒu hěn kě'ài ma?	Is your dog cute?
是。它很可爱。	shì. Tā hěn kě'ài.	Yes, it is. It is cute.

//Chinese With Mike/Season 1/Ch 27: Big Numbers and Phone Numbers
你的名字是什么？	nǐde míngzi shì shénme?	What is your name?
我的名字是Mike。	wǒde míngzi shì Mike.	My name is Mike.
他的名字是Geoff。	tāde míngzi shì Geoff.	His name is Geoff.
她的名字是什么？	tāde míngzi shì shénme?	What is her name?
她的名字是Jennifer。	tāde míngzi shì Jennifer.	Her name is Jennifer.
这是电话。	zhè shì diànhuà.	This is a telephone.
这是第的电话。	zhè shì nǐde diànhuà.	This is your telephone.
这是你的电话吗？	zhè shì nǐde diànhuà ma?	Is this your telephone?
是。这是我的电话。	shì. Zhè shì wǒde diànhuà.	Yes. This is my telephone.
你的电话号码是什么？	nǐde diànhuà hàomǎ shì shénme?	What is your telephone number?
我的电话号码是3976283。	wǒde diànhuà hàomǎ shì 3976283 .	My telephone number is 3976283)
你的老师的电话号码是什么？	nǐde lǎoshīde diànhuà hàomǎ shì shénme?	What is your teacher’s telephone number?
我的老师的电话号码是4029533。	wǒde lǎoshīde diànhuà hàomǎ shì 4029533.	My teacher’s telephone number is 4029533.
喂。 你好。你是谁？	wéi. Nǐ hǎo. Nǐ shì shéi?	Hello #1 (to answer phone. Hello #2 (to greet). Who are you?
我是Mike老师。	wǒ shì Mike lǎoshī.	I am Teacher Mike.
你的名字是Mike吗？	nǐde míngzi shì Mike ma?	Your name is Mike?
是。我的名字是Mike。你好。	shì. Wǒde míngzi shì Mike. Nǐ hǎo.	Yes, it is. My name is Mike. Hello.
你是英国人吗？	nǐ shì yīngguórén ma?	Are you British?
不是。我是美国人。你呢？	bú shì. Wǒ shì měiguórén. Nǐ ne?	No, I am not. I am American. And you?
我是中国人。我的名字是艾米。我很累。	wǒ shì zhōngguórén. Wǒde míngzi shì Àimǐ. Wǒ hěn lèi.	I am Chinese. My name is Amy. I am very tired.
我也很累。你很忙吗？	wǒ yě hěn lèi. Nǐ hěn máng ma?	I am tired, too. Are you busy?
我不忙。你呢？	wǒ bù máng. Nǐ ne?	I’m not busy. Are you?
我也不忙。	wǒ yě bù máng.	I’m not busy either.
今天是星期几？	jīntiān shì xīngqíjǐ?	What day is today?
今天是星期五。	jīntiān shì xīngqíwǔ.	Today is Friday.
昨天是星期几？	zuótiān shì xīngqíjǐ?	What day was it yesterday?
昨天是星期四。	zuótiān shì xīngqísì.	Yesterday was Thursday.
明天是星期几？	míngtiān shì xīngqíjǐ?	What day is tomorrow?
明天是星期六。	míngtiān shì xīngqíliù.	Tomorrow is Saturday.
前天是星期几？	qiántiān shì xīngqíjǐ?	What day was the day before yesterday?
前天是星期三。	qiántiān shì xīngqísān.	The day before yesterday was Wednesday.
后天是星期几？	hòutiān shì xīngqíjǐ?	What day is the day after tomorrow?
后天是星期日。	hòutiān shì xīngqírì.	The day after tomorrow is Sunday.
现在是几月？	xiànzài shì jǐyuè?	What month is it?
现在是八月。	xiànzài shì bāyuè.	It is August.
今天是几月几号？	jīntiān shì jǐyuè jǐhào?	What is the date today?
今天是八月十七号。	jīntiān shì bāyuè shìqīhào.	Today is August 17th.
现在（是）几点（钟）？	xiànzài (shì) jǐdiǎn(zhōng)?	What time is it? Note: It is not necessary to say “shì”or “zhōng”
现在（是）六点（钟）。	xiànzài (shì) liùdiǎn(zhōng).	Note: It is not necessary to say “shì” or “zhōng” (It’s more formal)
现在（是）几点几分？	xiànzài (shì ) jǐdiǎn jǐfēn?	What time is it? (lit. How many hours, how many minutes)
现在（是）六点四十三分。	xiànzài (shì ) liùdiǎn sìshísānfēn.	It is 6:43. (lit. There are 6 hours and 43 minutes)

//Chinese With Mike/Season 1/Ch 28: How Old Are You?
你几岁？	nǐ jǐ suì?	How old are you?
我九岁	wǒ jiǔ suì.	I am 9 years old.
她几岁？	tā jǐ suì?	How old is she?
她四十八岁	tā sìshíbā suì.	She is 48 years old.
你的妹妹几岁？	nǐde mèimei jǐ suì?	How old is your younger sister?
我的妹妹十三岁	wǒde mèimei shísān suì.	My younger sister is 13 years old.
他们的女儿几岁？	tāmende nüér jǐ suì?	How old is their daughter?
他们的女儿两岁。	tāmende nüér liáng suì.	Their daughter is two years old.
春节是几月几号？	chūnjié shì jǐyuè jǐhào?	Chinese New Year is what month and day?
春节是二月四号。	chūnjié shì èryuè sìhào.	Chinese New Year is in February.
圣诞节是几月几号？	shèngdànjié shì jǐyuè jǐhào?	Christmas is what month and day?
圣诞节是十二月二十五号。	shèngdànjié shì shí'èryuè èrshíwǔhào.	Christmas is December 25th.
情人节是几月几号？	qíngrénjié shì jǐyuè jǐhào?	Valentine's Day is what month and day?
情人节十二月是四号。	qíngrénjié shì èryuè shísìhào.	Valentine's Day is on February 14th.

//Chinese With Mike/Season 1/Ch 29: Here, There, and Where
今年是2011年。	jīnnián shì 2011 nián.	This year is 2011.
去年是2010年。	qùnián shì 2010 nián.	Last year was 2010.
前年是2009年。	qiánnián shì 2009 nián.	The year before last was 2009.
明年是2012年。	míngnián shì 2012 nián.	Next year is 2012.
后年是2013年。	hòunián shì 2013 nián.	The year after next is 2013.
我的生日是1980年。	wǒde shēngrì shì 1980 nián.	I was born in 1980.
今年我30岁。	jínnián wǒ 30 suì.	This year I am 30 years old.
明年我的太太55岁。	míngnián wǒde tàitai 55 suì.	Next year my wife will be 55 years old.
去年我的儿子4岁。	qúnián wǒde érzi 4 suì.	Last year my son was 4 years old.
你在哪里？	nǐ zài nǎ lǐ?	Where are you? (lit. You at where?)
我在这里？	wǒ zài zhè lǐ.	I am here.
她在哪里？	tā zài nǎ lǐ?	Where is she?
她在那里。	tā zài nà lǐ.	She is (over) there.
你的哥哥在哪里？	nǐde gēge zài nǎ lǐ?	Where is your older brother?
他在台湾。	tā zài táiwān.	He is in Taiwan.
他们的父母在哪里？	tāmende fùmǔ zài nǎ lǐ?	Where are their parents?
他们在巴西。	tāmen zài bāxī.	They are in Brazil.
我的苹果在哪里？	wǒde píngguǒ zài nǎ lǐ?	Where is my apple?
你的苹果在这里。	nǐde píngguǒ zài zhè lǐ.	Your apple is here.
你的草莓在哪里？	nǐde cǎoméi zài nǎ lǐ?	Where are your strawberries?
我的草莓在那里。	wǒde cǎoméi zài nà lǐ.	My strawberries are (over) there.
我的菠菜在哪里？	wǒde bōcài zài nǎ lǐ?	Where is my spinach?
你的菠菜在这里。	nǐde bōcài zài zhè lǐ.	Your spinach is here.
她的蘑菇在哪里？	tāde mógū zài nǎ lǐ?	Where are her mushrooms?
她的蘑菇在那里。	tāde mógū zài nà lǐ.	Her mushrooms are (over) there.
玉米很甜，也很便宜。	yùmǐ hěn tián, yě hěn piányí.	The corn is sweet and also cheap.
土豆很大，也很硬。	tǔdòu hěn dà, yě hěn yìng.	The potato is big and also hard.
豆子很小。	dòuzi hěn xiǎo.	The beans are very small.
请教很大。	qīngjiāo hěn dà.	The green pepper is big.

//Chinese With Mike/Season 1/Ch 30: Places
你在哪里？	nǐ zài nǎ lǐ?	Where are you?
我在海滩。	wǒ zài hǎitān.	I’m at the beach.
他在哪里？	tā zài nǎ lǐ?	Where is he?
他在公园。	tā zài gōngyuán.	He is at the park.
他们在哪里？	tāmen zài nǎ lǐ?	Where are they?
他们在赌场。	tāmen zài dǔchǎng.	They are at the casino.
你的朋友在哪里？	nǐde péngyǒu zài nǎ lǐ?	Where is your friend?
我的朋友在博物馆。	wǒde péngyǒu zài bówùguǎn.	My friend is at the museum.
他们的哥哥在哪里？	tāmende gēge zài nǎ lǐ?	Where is our older brother?
他在电影院。	tā zài diànyǐngyuàn.	He is at the movie theater.
你在餐厅吗？	nǐ zài cāntīng ma?	Are you at the restaurant?
是，我在餐厅。	shì. wǒ zài cāntīng.	Yes, I am. I am at the restaurant.
他们的母亲在图书馆吗？	tāmende mǔqīn zài túshūguǎn ma?	Is their mother at the library?
不是，他们的母亲在动物园。	bú shì. Tāmende mǔqīn zài dòngwùyuán.	No, she is not. Their mother is at the zoo.
Mike老师的女朋友在美术馆吗？	Mike lǎoshīde nǚpéngyǒu zài měishùguǎn ma?	Is Teacher Mike’s girlfriend at the art museum?
是，他在美术馆。	shì. tā zài měishùguǎn.	Yes, she is. She is at the art museum.
北京在哪里？	Běijīng zài nǎ lǐ?	Where is Beijing?
北京在中国	Běijīng zài zhōngguó.	Beijing is in China.
台北在哪里？	Táiběi zài nǎ lǐ?	Where is Taipei?
台北在台湾	Táiběi zài táiwān.	Taipei is in Taiwan.
洛杉矶在哪里？	Luòshānjī zài nǎ lǐ?	Where is Los Angeles?
洛杉矶在美国	Luòshānjī zài měiguó.	Los Angeles is in America.
东京在英国吗？	Dōngjīng zài yīngguó ma?	Is Tokyo in Britain?
不是。东京在日本	bú shì. Dōngjīng zài rìběn.	No, it is not. Tokyo is in Japan.
柏林在德国吗？	Bólín zài Déguó ma?	Is Berlin in Germany?
是。柏林在德国	shì. Bólín zài déguó.	Yes, it is. Berlin is in Germany.
巴黎在法国吗？	Bālí zài Fǎguó (Fàguó) ma?	Is Paris in France?
是。巴黎在法国	shì. Bālí zài Fǎguó (Fàguó).	Yes, it is. Paris is in France.
莫斯科在什么国家？	Mòsīkē zài shénme guójiā?	What country is Moscow in? （lit. Moscow in what country?)
莫斯科在俄国	Mòsīkē zài Éguó.	Moscow is in Russia.
曼谷在什么国家？	Màngǔ zài shénme guójiā?	What country is Bangkok in?
曼谷在泰国	Màngǔ zài tàiguó.	Bangkok is in Thailand.

//Chinese With Mike/Season 1/Ch 31: Rooms and Objects of the House
你在哪里？	nǐ zài nǎ lǐ?	Where are you?
我在家	wǒ zài jiā.	I am at home.
你们在哪里？	nǐ men zài nǎ lǐ?	Where are you guys?
我们在厨房	wǒmen zài chúfáng.	We are in the kitchen.
你的父亲在书房吗？	nǐde fùqīn zài shūfáng ma?	Is your father in the study?
是。他在书房	shì. tā zài shūfáng.	Yes, he is. He is in the study.
你的车子在哪里？	nǐde chēzi zài nǎ lǐ?	Where is your car?
我的车子在车库。	wǒde chēzi zài chēkù.	My car is in the garage.
老师的书在哪里？	lǎoshīde shū zài nǎ lǐ?	Where is the teacher’s book?
老师的书在书房。	lǎoshīde shū zài shūfáng.	The teacher’s book is in the study.
学生的妈妈在哪里？	xuéshēngde māma zài nǎ lǐ?	Where is the student’s mom?
她在客厅。	tā zài kètīng.	She is in the living room.
Geoff的太太在饭厅吗？	Geoff de tàitai zài fàntīng ma?	Is Geoff’s wife in the dining room?
不是。Geoff的太太在浴室。	bú shì. Geoff de tàitài zài yùshì.	No, she isn’t. Geoff’s wife is in the bathroom.
你的家在哪里？	nǐde jiā zài nǎ lǐ?	Where is your house?
我的家在芝加哥。	wǒde jiā zài zhījiāgē.	My house is in Chicago.
电脑在哪里？	diànnǎo zài nǎ lǐ?	Where is the computer?
电脑在书房。	diànnǎo zài shūfáng.	The computer is in the study.
冰箱在客厅吗？	bīngxiāng zài kètīng ma?	Is the refrigerator in the living room?
不是。冰箱在厨房。	bú shì. bīngxiāng zài chúfáng.	No, it isn’t. The refrigerator is in the kitchen.
沙发在哪里？	shāfā zài nǎ lǐ?	Where is the sofa?
沙发在客厅。	shāfā zài kètīng.	The sofa is in the living room.
电视在你的卧室吗？	diànshì zài nǐde wòshì ma?	Is the TV in your bedroom?
不是。电视在客厅。	bú shì. diànshì zài kètīng.	No, it isn’t. The TV is in the living room.
床在你的卧室吗？	chuáng zài nǐde wòshì ma?	Is the bed in your bedroom?
是。床在我的卧室。	shì. chuáng zài wǒde wòshì.	Yes, it is. The bed is in my bedroom.
你的床很软吗？	nǐde chuáng hěn ruǎn ma?	Is your bed soft?
是。我的床很软。	shì. Wǒde chuáng hěn ruǎn.	Yes, it is. My bed is (very) soft.
你的外婆的电话很贵吗？	nǐde wàipóde diànhuà hěn guì ma?	Is your grandmother’s telephone expensive?
是。我的外婆的电话很贵。	shì. Wǒde wàipóde diànhuà hěn guì.	Yes, it is. My grandmother’s telephone is expensive.
Mike老师的镜子很干净吗？	Mike lǎoshīde jìngzi hěn gānjìng ma?	Is Teacher Mike’s mirror clean?
不是。Mike老师的镜子很脏，也很久。	bú shì. Mike lǎoshīde jìngzi hěn zāng, yě hěn jiù.	No, it isn’t. Teacher Mike’s mirror is dirty and old.

//Chinese With Mike/Season 1/Ch 32: Nationalities, Weather, and Adjectives
我是美国人。	wǒ shì Měiguórén.	I am American.
你是埃及人。	nǐ shì Āijírén.	You are Egyptian.
他是爱尔兰人。	tā shì Àiěrlánrén.	He is Irish.
我们是越南人。	wǒmen shì yuènánrén.	We are Vietnamese.
你是哪里人？	nǐ shì nǎ lǐ rén?	 Where are you from/What is your nationality? (lit. You are where person?)
你的先生是哪里人？	nǐde xiānshēng shì nǎ lǐ rén?	Where is your husband’s nationality?/Where is he from?
我的先生是中国人。	wǒde xiānshēng shì Zhōngguórén.	My husband is Chinese.
Mike的朋友是哪里人？	Mikede péngyǒu shì nǎ lǐ rén?	What is Mike’s friend’s nationality? Where is Mike’s friend from?
Mike的朋友是加拿大人。	Mikede péngyǒu shì jiānádàrén.	Mike’s friend is Canadian.
他们的老师是哪里人？	tāmende lǎoshī shì nǎ lǐ rén?	What is their teacher’s nationality?/Where is their teacher from?
他们的老师是印度人。	tāmende lǎoshī shì yìndùrén.	Their teacher is Indian.
你的弟弟的太太是哪里人？	nǐde dìdi de tàitài shì nǎ lǐ rén?	Where is your younger brother’s wife from?
他的太太是澳洲人。	tāde tàitai shì àozhōurén.	His wife is Australian.
天气很好。	tiānqì hěn hǎo.	The weather is good/nice.
天气不好。	tiānqì bù hǎo.	The weather is bad.
天气很热。	tiānqì hěn rè.	The weather is hot.
天气很冷。	tiānqì hěn lěng.	The weather is cold.
今天天气好吗？	jīntiān tiānqì hǎo ma?	Is the weather good/nice today?
是。今天天气很好。	shì. jīntiān tiānqì hěn hǎo.	Yes, it is. The weather is good.
昨天天气很好。	zuótiān tiānqì hěn hǎo.	Yesterday the weather was good.
今天风很大。	jīntiān fēng hěn dà.	Today it is very windy.
今天太阳很大。	jīntiān tàiyáng hěn dà.	Today it is very sunny.
月亮很亮。	yùeliàng hěn liàng.	The moon is bright.
星星很漂亮。	xīngxīng hěn piàoliàng.	The stars are beautiful.
我是很高的男人。	wǒ shì hěn gāode nánrén.	I am a tall man.
你是很漂亮的女人。	nǐ shì hěn piàoliàngde nǚrén.	You’re a beautiful woman.
他是很可爱的孩子。	tā shì hěn kě'àide háizi.	He is a cute child.
他们是很聪明的学生。	tāmen shì hěn cōngmíngde xuéshēng.	They are intelligent students.
我的姐姐是很瘦的女人。	wǒde jiějie shì hěn shòude nǚrén.	My older sister is a thin woman.
Mike老师的妹妹是很懒惰的学生。	Mike lǎoshīde mèimei shì hěn lǎnduòde xuéshēng.	Teacher Mike’s younger sister is a lazy student.
他们的爸爸是很有钱的人吗？	tāmende bàba shì hěn yǒuqiánde rén ma?	Is their dad a rich person?
不是。他们的爸爸是很穷的人。	bú shì. tāmende bàba shì hěn qióngde rén.	No, he’s not. Their dad is a poor person.

//Chinese With Mike/Season 1/Ch 33: More Adjective-Noun Combos
我是男人。	wǒ shì nánrén.	I am a man.
我很高。	wǒ hěn gāo.	I am tall.
我是很高的男人。	wǒ shì hěn gāode nánrén.	I am a tall man.
她是女人。	tā shì nǚrén.	She is a woman.
她很笨。	tā hěn bèn.	She is stupid.
她是很笨的女人。	tā shì hěn bènde nǚrén.	She is a stupid woman.
Mike是老师。	Mike shì lǎoshī.	Mike is a teacher.
Mike很棒。	Mike hěn bàng.	Mike is great.
